entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-04-10,2100,Cuentas por pagar,87000.00,0.00,Pago factura INV-00106,INV-00106,CC-100 Operaciones,Bruno Garcia 02 00000067
2,2026-03-19,1020,Bancos,0.00,51060.88,Pago factura INV-00050,INV-00050,CC-100 Operaciones,Bruno Garcia 02 00000067
3,2026-04-09,2100,Cuentas por pagar,61268.88,0.00,Pago factura INV-00371,INV-00371,CC-100 Operaciones,Bruno Garcia 02 00000067
4,2026-03-28,2100,Cuentas por pagar,0.00,95573.56,Registro factura INV-00206,INV-00206,CC-100 Operaciones,Fabian Rios 06 00000067
5,2026-02-02,1020,Bancos,0.00,28371.28,Pago factura INV-00253,INV-00253,CC-100 Operaciones,Bruno Garcia 02 00000067
6,2026-02-27,2100,Cuentas por pagar,0.00,32195.80,Registro factura INV-00314,INV-00314,CC-100 Operaciones,Ana Ruiz 07 00000067
7,2026-04-23,2100,Cuentas por pagar,91370.88,0.00,Pago factura INV-00306,INV-00306,CC-100 Operaciones,Bruno Garcia 02 00000067
8,2026-02-02,5000,Gastos operativos,72405.00,0.00,Registro factura INV-00353,INV-00353,CC-100 Operaciones,Fabian Rios 06 00000067
9,2026-05-31,1180,IVA acreditable,3911.36,0.00,Registro factura INV-00165,INV-00165,CC-100 Operaciones,Bruno Garcia 08 00000067
10,2026-05-04,2100,Cuentas por pagar,0.00,71534.88,Registro factura INV-00341,INV-00341,CC-100 Operaciones,Elena Mora 05 00000067
11,2026-01-11,2100,Cuentas por pagar,0.00,23720.84,Registro factura INV-00195,INV-00195,CC-100 Operaciones,Fabian Rios 06 00000067
12,2026-04-05,2100,Cuentas por pagar,107088.88,0.00,Pago factura INV-00264,INV-00264,CC-100 Operaciones,Bruno Garcia 02 00000067
13,2026-06-21,5000,Gastos operativos,65161.00,0.00,Registro factura INV-00295,INV-00295,CC-100 Operaciones,Elena Mora 05 00000067
14,2026-06-01,5000,Gastos operativos,16585.00,0.00,Registro factura INV-00339,INV-00339,CC-100 Operaciones,Carla Soto 03 00000067
15,2026-01-09,2100,Cuentas por pagar,0.00,31441.80,Registro factura INV-00014,INV-00014,CC-100 Operaciones,Bruno Garcia 02 00000067
16,2026-04-28,1020,Bancos,0.00,22658.28,Pago factura INV-00226,INV-00226,CC-100 Operaciones,Bruno Garcia 02 00000067
17,2026-06-30,1020,Bancos,0.00,107463.56,Pago factura INV-00274,INV-00274,CC-100 Operaciones,Bruno Garcia 02 00000067
18,2026-02-21,1180,IVA acreditable,6655.04,0.00,Registro factura INV-00286,INV-00286,CC-100 Operaciones,Ana Ruiz 01 00000067
19,2026-01-21,5000,Gastos operativos,0.00,22500.00,Reversion de factura cancelada INV-00187,INV-00187,CC-100 Operaciones,Bruno Garcia 02 00000067
20,2026-05-24,1020,Bancos,0.00,38335.68,Pago factura INV-00116,INV-00116,CC-100 Operaciones,Bruno Garcia 02 00000067
21,2026-01-22,2100,Cuentas por pagar,0.00,23443.60,Registro factura INV-00160,INV-00160,CC-100 Operaciones,Ana Ruiz 07 00000067
22,2026-02-19,2100,Cuentas por pagar,67208.08,0.00,Pago factura INV-00375,INV-00375,CC-100 Operaciones,Bruno Garcia 02 00000067
23,2026-01-14,2100,Cuentas por pagar,0.00,21959.96,Registro factura INV-00145,INV-00145,CC-100 Operaciones,Elena Mora 05 00000067
